DeployID,Ptt,DepthSensor,Instr,Date,LocationQuality,Latitude,Longitude,Depth,Temperature,Source
Bug,238964,0.500000,UT,10:00:00 01-Apr-2025,,,,0.0,11.0,Status
Bug,238964,0.500000,UT,07:00:00 04-Apr-2025,,,,0.0,10.8,Status
Bug,238964,0.500000,UT,22:00:00 04-Apr-2025,,,,0.0,10.9,Status
Bug,238964,0.500000,UT,15:00:00 07-Apr-2025,,,,0.0,11.0,Status
Bug,238964,0.500000,UT,12:00:00 10-Apr-2025,,,,0.0,11.3,Status
Bug,238964,0.500000,UT,22:00:00 12-Apr-2025,,,,0.0,11.4,Status
Bug,238964,0.500000,UT,22:00:00 13-Apr-2025,,,,0.0,11.4,Status
Bug,238964,0.500000,UT,12:00:00 15-Apr-2025,,,,0.0,10.9,Status
Bug,238964,0.500000,UT,13:00:00 17-Apr-2025,,,,0.0,11.8,Status
Bug,238964,0.500000,UT,22:00:00 19-Apr-2025,,,,0.0,11.4,Status
Bug,238964,0.500000,UT,04:00:00 21-Apr-2025,,,,0.0,11.8,Status
Bug,238964,0.500000,UT,22:00:00 24-Apr-2025,,,,0.0,12.1,Status
Bug,238964,0.500000,UT,08:00:00 27-Apr-2025,,,,0.0,11.8,Status
Bug,238964,0.500000,UT,10:00:00 27-Apr-2025,,,,0.0,12.1,Status
Bug,238964,0.500000,UT,22:00:00 28-Apr-2025,,,,0.0,12.1,Status
Bug,238964,0.500000,UT,06:00:00 01-May-2025,,,,0.0,12.9,Status
Bug,238964,0.500000,UT,00:00:00 02-May-2025,,,,0.0,12.1,Status
Bug,238964,0.500000,UT,11:00:00 04-May-2025,,,,0.0,13.1,Status
Bug,238964,0.500000,UT,18:00:00 07-May-2025,,,,0.0,12.6,Status
Bug,238964,0.500000,UT,01:00:00 10-May-2025,,,,0.0,12.8,Status
Bug,238964,0.500000,UT,10:00:00 12-May-2025,,,,0.0,13.7,Status
Bug,238964,0.500000,UT,21:00:00 14-May-2025,,,,0.0,14.6,Status
Bug,238964,0.500000,UT,06:00:00 16-May-2025,,,,0.0,14.4,Status
Bug,238964,0.500000,UT,14:00:00 16-May-2025,,,,0.0,14.9,Status
Bug,238964,0.500000,UT,18:00:00 16-May-2025,,,,0.0,13.4,Status
Bug,238964,0.500000,UT,22:00:00 16-May-2025,,,,0.0,14.4,Status
Bug,238964,0.500000,UT,14:00:00 17-May-2025,,,,0.0,14.4,Status
Bug,238964,0.500000,UT,20:00:00 20-May-2025,,,,0.0,15.4,Status
Bug,238964,0.500000,UT,07:00:00 23-May-2025,,,,0.0,13.8,Status
Bug,238964,0.500000,UT,21:00:00 25-May-2025,,,,0.0,13.1,Status
Bug,238964,0.500000,UT,02:00:00 26-May-2025,,,,0.0,13.4,Status
Bug,238964,0.500000,UT,12:00:00 27-May-2025,,,,0.0,12.9,Status
Bug,238964,0.500000,UT,22:00:00 28-May-2025,,,,0.0,12.4,Status
